E_2 / keV	N_2
-0.07	0
-0.03	0
0	0
0.03	0
0.06	0
0.1	0
0.13	17
0.16	3
0.19	0
0.23	0
0.26	0
0.29	0
0.32	0
0.36	0
0.39	0
0.42	0
0.45	0
0.49	0
0.52	0
0.55	0
0.58	0
0.61	0
0.65	0
0.68	0
0.71	0
0.74	0
0.78	0
0.81	0
0.84	0
0.87	0
0.91	0
0.94	0
0.97	0
1	0
1.04	0
1.07	0
1.1	0
1.13	0
1.17	0
1.2	0
1.23	0
1.26	0
1.3	0
1.33	0
1.36	0
1.39	0
1.43	1
1.46	0
1.49	0
1.52	0
1.56	0
1.59	1
1.62	1
1.65	2
1.69	4
1.72	1
1.75	4
1.78	5
1.82	6
1.85	4
1.88	9
1.91	7
1.95	13
1.98	13
2.01	13
2.04	6
2.08	19
2.11	18
2.14	26
2.17	25
2.21	29
2.24	31
2.27	29
2.3	33
2.34	34
2.37	38
2.4	34
2.43	34
2.47	39
2.5	40
2.53	40
2.56	35
2.6	49
2.63	45
2.66	50
2.69	37
2.73	37
2.76	52
2.79	39
2.82	45
2.85	43
2.89	39
2.92	45
2.95	29
2.98	49
3.02	54
3.05	37
3.08	49
3.11	42
3.15	33
3.18	46
3.21	43
3.24	41
3.28	46
3.31	45
3.34	33
3.37	46
3.41	33
3.44	55
3.47	42
3.5	44
3.54	40
3.57	38
3.6	56
3.63	36
3.67	51
3.7	43
3.73	41
3.76	51
3.8	50
3.83	64
3.86	44
3.89	50
3.93	64
3.96	52
3.99	61
4.02	65
4.06	53
4.09	55
4.12	52
4.15	39
4.19	44
4.22	56
4.25	75
4.28	56
4.32	49
4.35	64
4.38	68
4.41	51
4.45	64
4.48	57
4.51	51
4.54	61
4.58	50
4.61	59
4.64	58
4.67	69
4.71	57
4.74	65
4.77	60
4.8	76
4.84	70
4.87	74
4.9	75
4.93	48
4.97	66
5	74
5.03	71
5.06	61
5.09	72
5.13	78
5.16	85
5.19	72
5.22	66
5.26	75
5.29	78
5.32	66
5.35	81
5.39	77
5.42	83
5.45	71
5.48	86
5.52	90
5.55	80
5.58	97
