f(Hz)	Amplitude(mV)
1050	12
1055	13.3
1060	15.1
1065	17.2
1070	19.6
1075	24
1080	32
1082	37.2
1084	44.4
1085	49.2
1086	53.2
1086.4	54
1086.8	54.8
1087.4	54
1088	50.8
1089	42.4
1090	33.2
1092	17.6
1094	10
1096	12.8
1098	19.4
1100	27
1102	37.2
1104	50.8
1106	67.6
1108	87.2
1109	95.2
1110	97.6
1111	99.2
1112	96
1113	90.4
1114	86.4
1116	73.6
1118	66.4
1120	61.6
1125	52
1130	48
1135	48
1140	50.4
1145	58.4
1150	72
1152	84
1155	101
1157	116
1159	130
1160	135
1161	138
1162	136
1163	135
1164	130
1165	125
1167	112
1169	101
1171	92
1173	84.8
1175	80
1180	76
1185	77.2
1186	79.2
1187	80
1188	80
1189	80
1190	80
1191	78.4
1192	76
1193	73.6
1194	70.4
1195	66.4
1196	62.4
1198	53.6
1200	47.2
1205	32
1210	23.2
1220	13.6
1230	8.24
1240	6
1250	4.72
1260	4.4
1040	9.28
1020	6.64
1010	2.16
1000	1.5
