E_1 / keV	N_1
-0.07	0
-0.03	0
0	0
0.03	0
0.06	0
0.1	0
0.13	12
0.16	2
0.19	1
0.23	0
0.26	0
0.29	8
0.32	0
0.36	0
0.39	0
0.42	0
0.45	0
0.49	0
0.52	0
0.55	0
0.58	0
0.61	0
0.65	0
0.68	0
0.71	0
0.74	0
0.78	0
0.81	0
0.84	0
0.87	0
0.91	0
0.94	0
0.97	0
1	0
1.04	0
1.07	0
1.1	0
1.13	0
1.17	0
1.2	0
1.23	0
1.26	0
1.3	0
1.33	0
1.36	0
1.39	0
1.43	0
1.46	1
1.49	0
1.52	1
1.56	0
1.59	2
1.62	1
1.65	1
1.69	2
1.72	2
1.75	0
1.78	1
1.82	3
1.85	0
1.88	6
1.91	5
1.95	4
1.98	9
2.01	15
2.04	5
2.08	3
2.11	15
2.14	9
2.17	7
2.21	16
2.24	16
2.27	23
2.3	17
2.34	13
2.37	19
2.4	23
2.43	30
2.47	14
2.5	15
2.53	29
2.56	32
2.6	17
2.63	23
2.66	17
2.69	27
2.73	19
2.76	29
2.79	27
2.82	28
2.85	22
2.89	13
2.92	24
2.95	27
2.98	21
3.02	28
3.05	25
3.08	26
3.11	23
3.15	26
3.18	19
3.21	22
3.24	21
3.28	19
3.31	26
3.34	15
3.37	17
3.41	21
3.44	23
3.47	17
3.5	22
3.54	22
3.57	30
3.6	17
3.63	22
3.67	26
3.7	31
3.73	28
3.76	16
3.8	21
3.83	25
3.86	26
3.89	25
3.93	27
3.96	35
3.99	26
4.02	27
4.06	23
4.09	28
4.12	30
4.15	26
4.19	33
4.22	27
4.25	27
4.28	35
4.32	28
4.35	27
4.38	35
4.41	34
4.45	30
4.48	24
4.51	35
4.54	32
4.58	30
4.61	29
4.64	27
4.67	43
4.71	23
4.74	26
4.77	44
4.8	31
4.84	31
4.87	37
4.9	35
4.93	31
4.97	36
5	40
5.03	32
5.06	38
5.09	39
5.13	36
5.16	40
5.19	30
5.22	33
5.26	29
5.29	36
5.32	31
5.35	24
5.39	45
5.42	42
5.45	38
5.48	25
5.52	37
5.55	32
5.58	48
